nr;kuenstler_id;kuenstler;theoretiker_id;theoretiker;text;frage
234;marina-abramovic;Marina Abramović;gilles-deleuze;Gilles Deleuze;Marina Abramović hat eigene Performances wiederholt und historische Performances anderer Künstler:innen neu aufgeführt. Gilles Deleuze versteht Wiederholung nicht als identische Rückkehr, sondern als Produktion von Differenz. Das wird bei Performance besonders deutlich. Derselbe Ablauf trifft auf einen anderen Körper, ein anderes Publikum und eine andere historische Situation. Wiederaufführung erhält eine Form nur dadurch, dass sie ein neues Ereignis hervorbringt.;Kann eine Performance wiederkehren, ohne dieselbe zu werden?
235;sol-lewitt;Sol LeWitt;michel-foucault;Michel Foucault;Sol LeWitts Instruktionen scheinen zunächst nur festzulegen, was ausgeführt werden soll. Michel Foucault lenkt den Blick darauf, wie Regeln zugleich Positionen, Zuständigkeiten und Sichtbarkeit organisieren. Eine Wall Drawing macht bestimmte Formen sichtbar, während die Arbeit der Ausführenden leicht hinter dem Namen des Künstlers und der scheinbaren Neutralität der Regel verschwindet. Die Instruktion ordnet deshalb nicht nur Linien, sondern auch Rollen im Produktionsprozess.;Wer wird durch eine Regel sichtbar?
236;marina-abramovic;Marina Abramović;heinz-von-foerster;Heinz von Foerster;Marina Abramovićs Performances können Situationen erzeugen, in denen die Beobachtenden nicht außerhalb des Geschehens bleiben. Heinz von Foersters Kybernetik zweiter Ordnung richtet den Blick auf den Beobachter als Teil dessen, was beobachtet wird. Ein Blick, eine Annäherung oder ein Rückzug des Publikums verändert die Situation, auf die anschließend wieder reagiert wird. Beobachtung erhält damit Folgen und kehrt als veränderte Bedingung in die Performance zurück.;Was geschieht, wenn Beobachtung zurückwirkt?
237;marina-abramovic;Marina Abramović;jacques-derrida;Jacques Derrida;Marina Abramović bindet Performance an die Anwesenheit eines Körpers in einer unwiederholbaren Gegenwart. Jacques Derrida macht zugleich sichtbar, dass ein Ereignis nur weitergegeben werden kann, wenn Spuren von ihm wiederholbar werden. Fotografien, Beschreibungen, Videos und Reenactments retten die ursprüngliche Präsenz nicht. Sie erzeugen neue Situationen, in denen das vergangene Ereignis anders wiederkehrt. Gerade die Einmaligkeit der Performance produziert damit die Bedingungen ihrer späteren Wiederholung.;Was bleibt von einer einmaligen Gegenwart?
238;sol-lewitt;Sol LeWitt;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Sol LeWitts Instruktion ist wiederholbar, ohne dass jede Ausführung identisch sein muss. Wendy Hui Kyong Chun beschreibt digitale Medien über Wiederholung, Gewohnheit und Update: Etwas bleibt funktionsfähig, indem es immer wieder erneuert wird. LeWitts Regel lässt sich ähnlich lesen. Sie bewahrt nicht einen fertigen Zustand, sondern ermöglicht neue Aktualisierungen desselben Werks. Stabilität entsteht durch die Fähigkeit, erneut ausgeführt zu werden.;Wann wird eine Regel zum Update?
239;tehching-hsieh;Tehching Hsieh;judith-butler;Judith Butler;Tehching Hsieh setzt sich einer ausdrücklich formulierten Regel aus, deren Wiederholung sein Verhalten über Monate oder Jahre ordnet. Judith Butler untersucht dagegen Normen, die oft gerade deshalb wirksam sind, weil sie nicht wie Regeln vor uns liegen. Sie werden durch wiederholte Handlungen selbstverständlich. Hsiehs Performance macht diese Differenz sichtbar: Seine Regel ist künstlich, datiert und kündbar, ihre fortgesetzte Ausführung beginnt jedoch, Alltag und Körper wie eine Norm zu strukturieren.;Wann beginnt eine Regel wie eine Norm zu wirken?
240;sol-lewitt;Sol LeWitt;donna-haraway;Donna Haraway;Sol LeWitts Instruktionen können den Eindruck erwecken, eine Regel sei unabhängig davon, wer sie ausführt. Donna Haraway widerspricht der Vorstellung eines standpunktlosen Wissens. Auch die präziseste Anweisung wird von bestimmten Körpern an bestimmten Orten gelesen, vermessen und umgesetzt. Unterschiede in Raum, Material und Erfahrung verschwinden nicht hinter der Regel. Die scheinbar allgemeine Instruktion erhält jedes Mal eine konkrete, situierte Form.;Von welchem Ort wird eine Regel ausgeführt?
241;agnes-martin;Agnes Martin;george-spencer-brown;George Spencer-Brown;Agnes Martins Linien teilen die Bildfläche, doch ihre Wirkung hängt stark von Abstand, Licht und Aufmerksamkeit ab. George Spencer-Brown beginnt Form mit dem Ziehen einer Unterscheidung. Bei Martin ist interessant, wie wenig eine solche Unterscheidung braucht. Eine kaum sichtbare Linie kann zwei Bereiche erzeugen, aber nur für einen Blick, der sie überhaupt wahrnimmt. Grenze und Beobachtung entstehen hier fast im selben Moment.;Wann wird eine Linie zur Grenze?
242;marina-abramovic;Marina Abramović;michel-foucault;Michel Foucault;Marina Abramović setzt Körper häufig Bedingungen aus, die öffentlich beobachtbar sind. Michel Foucault untersucht Sichtbarkeit nicht bloß als Sehen, sondern als Bestandteil von Anordnungen, in denen Verhalten geführt und beurteilt wird. In einer Performance verändert Publikum daher nicht nur die Aufmerksamkeit. Seine Anwesenheit gehört zur Situation, in der Ausdauer, Regelbefolgung und Grenzüberschreitung Bedeutung erhalten. Der Blick ist kein unsichtbares Außen, sondern eine Bedingung des Vollzugs.;Wann wird Sichtbarkeit Teil der Handlung?
243;bruce-nauman;Bruce Nauman;lucy-suchman;Lucy Suchman;Bruce Nauman entwickelt einfache Aufgaben, Bewegungen und räumliche Anordnungen, die im Vollzug schnell komplizierter werden. Lucy Suchman zeigt, dass ein Plan eine Handlung nicht vollständig enthält. Körper müssen auf Raum, Widerstand, Gleichgewicht und unerwartete Situationen reagieren. Naumans Wiederholungen machen genau diese Differenz sichtbar. Die Anweisung bleibt knapp, während jede Ausführung neue kleine Entscheidungen verlangt.;Was bleibt von einem Plan im Körper?
244;tehching-hsieh;Tehching Hsieh;donna-haraway;Donna Haraway;Tehching Hsiehs Zeitregeln wirken zunächst vollkommen allgemein: Eine Stunde ist für alle sechzig Minuten. Donna Haraway erinnert daran, dass jede Erkenntnis und jede Erfahrung situiert ist. Für Hsiehs Körper bedeutet dieselbe Stunde je nach Schlaf, Müdigkeit, Wetter und vorherigem Verlauf etwas anderes. Die Uhr stellt Gleichheit her, während der Körper Differenz erfährt. Gerade diese Spannung macht messbare Zeit als konkrete Lebensbedingung sichtbar.;Wessen Zeit misst dieselbe Uhr?
245;doris-salcedo;Doris Salcedo;michel-foucault;Michel Foucault;Doris Salcedo arbeitet mit materiellen Spuren von Gewalt und Verlust, ohne die Abwesenden einfach bildlich zu ersetzen. Michel Foucault untersucht Ordnungen der Sichtbarkeit und die Bedingungen, unter denen etwas erscheinen kann. Salcedos Arbeiten stellen deshalb nicht nur Erinnerungen aus. Sie organisieren eine Form des Sehens, in der Lücke, Leerstelle und beschädigtes Material lesbar werden. Abwesenheit wird sichtbar, ohne dadurch aufgehoben zu sein.;Wie wird Abwesenheit sichtbar, ohne aufgehoben zu werden?
246;james-turrell;James Turrell;lucy-suchman;Lucy Suchman;James Turrell plant Räume, Öffnungen und Lichtverhältnisse mit großer Präzision. Lucy Suchman zeigt jedoch, dass geplante Abläufe erst in konkreten Situationen zu tatsächlichen Handlungen werden. Auch Wahrnehmung lässt sich nicht vollständig vorprogrammieren. Augen passen sich unterschiedlich schnell an, Menschen bewegen sich, warten oder übersehen etwas. Turrell kann Bedingungen des Sehens entwerfen, aber nicht das einzelne Sehen selbst. Das Werk entsteht deshalb zwischen räumlicher Planung und situiertem Vollzug.;Kann man Wahrnehmung planen?
